"region","marina","company","photo_type","photo_ID","day","month","year","Unk_Mahi","M_mahi_gaffers","F_mahi_gaffers","mahi_bailers","wahoo","Kingfish","Triggerfish","Tilefish","Rainbow_Runner","Amberjack_Complex","Barracuda","Cobia","Bluefish","Spanish_Mackerel","Swordfish","Blackbelly_Rosefish","Sailfish","tunas","groupers"
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","060917_2",9,6,2017,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"North Carolina","Pirate's Cove Marina","","Layout","041119_2",11,4,2019,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"North Carolina","Pirate's Cove Marina","","Layout","101419",14,10,2019,8,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"North Carolina","Pirate's Cove Marina","","Layout","61219",12,6,2019,1,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,2,0
"North Carolina","Hatteras Harbor Marina","","Layout","060520(4)",5,6,2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Pirate's Cove Marina","","Layout","062419_2",24,6,2019,2,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,3
"region","marina","company","photo_type","photo_ID","day","month","year","Unk_Mahi","M_mahi_gaffers","F_mahi_gaffers","mahi_bailers","wahoo","Kingfish","Triggerfish","Tilefish","Rainbow_Runner","Amberjack_Complex","Barracuda","Cobia","Bluefish","Spanish_Mackerel","Swordfish","Blackbelly_Rosefish","Sailfish","tunas","groupers"
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","061017_2",10,6,2017,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
"North Carolina","Pirate's Cove Marina","","Layout","062620_2",26,6,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"North Carolina","Pirate's Cove Marina","","Layout","070619_5",6,7,2019,2,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Pirate's Cove Marina","","Layout","70319",3,7,2019,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Hatteras Harbor Marina","","Layout","070420(3)",4,7,2020,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Pirate's Cove Marina","","Layout","61719",17,6,2019,6,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","052019_4",20,5,2019,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Virginia ","Virginia Beach Fishing Center","Fleet","Layout","091717_3",17,9,2017,30,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"North Carolina","Hatteras Harbor Marina","","Layout","110219(2)",2,11,2019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"North Carolina","Oregon Inlet Fishing Center","","Layout","052520_2",25,5,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"North Carolina","Pirate's Cove Marina","","Layout","62519",25,6,2019,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
