photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden/Blueline Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Cobia,Black/Gag Grouper/Unidentified,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Lane_Snapper,Bluefish,Jack Crevalle,Cubera Snapper,Swordfish,Notes
Jul4th2019.jpg,Keys,Marathon,Two Conchs,Layout,4,7,2019,,,,16,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul5th2019.jpg,Keys,Marathon,Two Conchs,Layout,5,7,2019,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul6th2019.jpg,Keys,Marathon,Two Conchs,Layout,6,7,2019,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul10th2019.jpg,Keys,Marathon,Two Conchs,Layout,10,7,2019,1,2,,4,,6,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Jul12th2019 (2).jpg,Keys,Marathon,Two Conchs,Layout,12,7,2019,,,,9,,7,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Jul12th2019.jpg,Keys,Marathon,Two Conchs,Layout,12,7,2019,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul13th2019.jpg,Keys,Marathon,Two Conchs,Layout,13,7,2019,,,,13,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul17th2019.jpg,Keys,Marathon,Two Conchs,Layout,17,7,2019,1,,,13,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul18th2019.jpg,Keys,Marathon,Two Conchs,Layout,18,7,2019,2,,,15,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul19th2019 (2).jpg,Keys,Marathon,Two Conchs,Layout,19,7,2019,,,,19,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul19th2019.jpg,Keys,Marathon,Two Conchs,Layout,19,7,2019,,,,17,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Jul21st2019.jpg,Keys,Marathon,Two Conchs,Layout,21,7,2019,1,,,17,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul22nd2019.jpg,Keys,Marathon,Two Conchs,Layout,22,7,2019,,,,7,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul23rd2019.jpg,Keys,Marathon,Two Conchs,Layout,23,7,2019,,,,7,,5,,,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,
Jul26th2019.jpg,Keys,Marathon,Two Conchs,Layout,26,7,2019,,,,4,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul27th2019.jpg,Keys,Marathon,Two Conchs,Layout,27,7,2019,,,,8,,7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Jul29th2019.jpg,Keys,Marathon,Two Conchs,Layout,29,7,2019,1,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul30th2019.jpg,Keys,Marathon,Two Conchs,Layout,30,7,2019,,,,2,,9,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Jul31st2019.jpg,Keys,Marathon,Two Conchs,Layout,31,7,2019,,,,5,,10,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Aug3rd2019.jpg,Keys,Marathon,Two Conchs,Layout,3,8,2019,,,,10,,9,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Aug4th2019.jpg,Keys,Marathon,Two Conchs,Layout,4,8,2019,,,,14,,5,,,,,,,,,,,,2,,,,,1,,,,,,,,,,,,,,,,
Aug6th2019.jpg,Keys,Marathon,Two Conchs,Layout,6,8,2019,,,,12,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Aug8th2019.jpg,Keys,Marathon,Two Conchs,Layout,8,8,2019,,,,31,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,Could be 1-7 more
Aug9th2019.jpg,Keys,Marathon,Two Conchs,Layout,9,8,2019,,,,30,,,,,,,,1,,,,,3,1,,,,,,,,,,,,,,,,,,,,,Could be 1-7 more
Aug11th2019.jpg,Keys,Marathon,Two Conchs,Layout,11,8,2019,,,,1,,11,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Aug12th2019.jpg,Keys,Marathon,Two Conchs,Layout,12,8,2019,,,,6,,6,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Aug13th2019.jpg,Keys,Marathon,Two Conchs,Layout,13,8,2019,,,,3,,7,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,
Aug18th2019.jpg,Keys,Marathon,Two Conchs,Layout,18,8,2019,,,,1,,5,,,,,,,,,,,,1,6,,,,,1,2,,,,,,,,,,,,,,
Aug24th2019.jpg,Keys,Marathon,Two Conchs,Layout,24,8,2019,,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug26th2019.jpg,Keys,Marathon,Two Conchs,Layout,26,8,2019,1,,,28,,4,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug27th2019 (2).jpg,Keys,Marathon,Two Conchs,Layout,27,8,2019,1,,,23,,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Aug27th2019.jpg,Keys,Marathon,Two Conchs,Layout,27,8,2019,3,,,13,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug28th2019.jpg,Keys,Marathon,Two Conchs,Layout,28,8,2019,,,,4,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug30th2019.jpg,Keys,Marathon,Two Conchs,Layout,30,8,2019,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep7th2019.jpg,Keys,Marathon,Two Conchs,Layout,7,9,2019,,1,,2,,8,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,
Sep12th2019.jpg,Keys,Marathon,Two Conchs,Layout,12,9,2019,2,,,18,,3,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Sep13th2019.jpg,Keys,Marathon,Two Conchs,Layout,13,9,2019,1,,,16,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar15th2020.jpg,Keys,Marathon,Two Conchs,Layout,15,3,2020,,,,7,,12,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Jun4th2020,Keys,Marathon,Two Conchs,Layout,4,6,2020,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun5th2020,Keys,Marathon,Two Conchs,Layout,5,6,2020,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun6th2020_2,Keys,Marathon,Two Conchs,Layout,6,6,2020,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun6th2020,Keys,Marathon,Two Conchs,Layout,6,6,2020,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun7th2020,Keys,Marathon,Two Conchs,Layout,7,6,2020,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun11th2020,Keys,Marathon,Two Conchs,Layout,11,6,2020,,,,5,,5,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
Jan2nd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,1,2019,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan4th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,1,2019,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan6th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,6,1,2019,,,,2,,2,,,,,,,,1,,,,,,,,,,,,,4,,,,,,,,,,,,
Jan12th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,12,1,2019,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan18th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,18,1,2019,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,
Jan20th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,20,1,2019,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan25th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,1,2019,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb2nd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,2,2019,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb11th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,11,2,2019,,1,,4,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Feb12th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,12,2,2019,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb14th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,14,2,2019,1,1,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb15th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,2,2019,,,,,1,3,2,,,,,,,,,,,,,,1,,,,,,,3,,,,,,,,,,,
Feb17th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,2,2019,,,,1,,,,,,,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,
Feb19th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,19,2,2019,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb21st2019 (2).jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,2,2019,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb22nd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,22,2,2019,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb21st2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,21,2,2019,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb25th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,25,2,2019,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb27th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,27,2,2019,,,,3,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,
Mar1st2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,3,2019,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar2nd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,3,2019,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar3rd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,3,2019,,,,,1,7,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,
Mar8th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,8,3,2019,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mar11th2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,11,3,2019,,,,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar22nd2019.jpg,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,22,3,2019,,,,1,,,9,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
