photo_ID,region,marina,company,photo_type,day,month,year,M_mahi_gaffers,F_mahi_gaffers,mahi_bailers,wahoo,Blackfin Tuna,Kingfish,Bonita,Blue Runners,Yellowtail Snapper,African Pompano,Tripletail,Rainbow Runner,Amberjack/Banded Rudderfish/Almaco Jack,Cero/Spanish Mackerel,Red Grouper,Skipjack Tuna,Golden Tilefish,Mangrove_Snapper,Mutton Snapper,Vermillion Snapper,Black Grouper,Yellow Jack,Blackbelly Rosefish,Barracuda,Snowy Grouper,Silk Snapper,Porgies,Red Snapper,Sailfish,Atlantic Bonito,Triggerfish,Notes
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,4,2019,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,1,4,2019,1,,4,,,,2,,,,,,,,,,,,,4,,,2,2,,4,,1,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,2,4,2019,,,4,,,,1,,,,,,,,,,2,,,,,,1,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,3,4,2019,,,,1,,1,2,,,,,,,,,1,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,4,4,2019,,,,1,,,,,,,,,,,,1,1,,,,,,8,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,4,2019,,1,2,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,7,4,2019,,,,3,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,12,4,2019,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,13,4,2019,,,1,,1,2,8,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,4,2019,,,,2,2,,6,,,,,,,,,,,,,,,,,,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,15,4,2019,,,,6,1,,11,,,,,,6,,,,,,,,,,,1,,,,,,,,
,South Florida,Deerfield Beach,Bolo Sportfishing,Layout,17,4,2019,1,,1,,3,1,15,,,,,,,,,,,,,,,,,,,,,,,,,
